N,Torch-Ops,Torch-Softmax,Triton
45056.000000,173.042724,325.460933,326.086620
45184.000000,162.441074,326.606735,350.178735
45312.000000,173.029126,349.984060,349.984060
45440.000000,172.898925,350.211950,350.296299
45568.000000,162.434672,326.432968,326.213867
45696.000000,172.988518,350.077097,350.071867
45824.000000,172.981960,350.052041,350.135607
45952.000000,173.036480,325.828485,326.262252
46080.000000,162.754966,326.302266,350.085475
46208.000000,173.033288,349.977767,350.060603
46336.000000,172.956018,349.953277,349.953277
46464.000000,162.514809,326.421076,326.349413
46592.000000,173.043641,349.740550,349.822630
46720.000000,173.027028,349.962552,349.880632
46848.000000,173.060434,325.615977,326.147289
46976.000000,162.476443,349.832916,349.995819
47104.000000,173.127683,349.809238,349.809238
47232.000000,173.080332,349.907170,349.947668
47360.000000,162.626892,326.269092,326.339365
47488.000000,173.086856,349.742794,349.739027
47616.000000,173.050762,349.755997,349.715869
47744.000000,173.171781,326.594255,326.524471
47872.000000,162.501753,349.830884,349.709855
48000.000000,172.972971,349.726783,349.726783
48128.000000,173.083385,349.783311,326.291520
48256.000000,162.546532,326.674853,349.681152
48384.000000,173.081006,349.264156,349.224775
48512.000000,172.948309,349.636051,349.557303
48640.000000,162.556657,326.442954,326.991602
48768.000000,173.070423,349.200284,349.044076
48896.000000,173.140642,349.101284,349.335129
49024.000000,162.600334,326.826651,326.656540
49152.000000,172.861191,349.991972,349.836316
49280.000000,172.580241,349.968942,349.968942
49408.000000,162.501260,326.394709,326.767844
49536.000000,173.108221,349.923176,349.853192
49664.000000,173.054718,349.900475,349.900475
49792.000000,162.644206,326.170715,326.371165
49920.000000,173.051670,349.778842,349.778842
50048.000000,172.504956,349.986020,350.062503
50176.000000,162.710982,326.149096,326.613495
50304.000000,173.089032,349.788779,349.712804
50432.000000,173.064236,349.918459,349.842621
50560.000000,162.596855,326.390976,326.259339
50688.000000,173.190541,349.798565,349.874036
50816.000000,173.101123,350.002584,349.927248
50944.000000,162.719768,326.041607,325.716889
51072.000000,173.088758,349.958017,349.883113
51200.000000,173.119182,349.823855,349.861197
51328.000000,162.575079,326.343304,326.637368
51456.000000,173.179643,349.372389,349.446518
51584.000000,173.028092,349.499903,349.570437
51712.000000,162.648324,325.937364,349.700748
51840.000000,173.124611,349.827093,349.679610
51968.000000,173.100443,349.732063,349.879227
52096.000000,162.672915,326.396874,326.397871
52224.000000,172.998758,349.616731,349.543621
52352.000000,172.921549,349.559516,349.668968
52480.000000,162.634129,326.089329,326.311088
52608.000000,173.034848,349.482241,349.373455
52736.000000,173.224387,349.534385,349.534385
52864.000000,162.611550,326.134221,326.856926
52992.000000,173.194161,349.313828,349.313828
53120.000000,173.011712,349.545547,349.473700
53248.000000,162.659157,325.987360,326.362003
53376.000000,173.105496,349.894531,349.791510
53504.000000,173.047093,349.842255,349.952870
53632.000000,162.598199,325.906567,349.643271
53760.000000,173.105257,349.694068,349.800718
53888.000000,173.168911,349.780134,349.993097
54016.000000,162.545790,325.704171,325.888380
54144.000000,173.087707,349.915776,349.739200
54272.000000,173.133689,349.859785,349.789336
54400.000000,162.600411,325.931478,349.733797
54528.000000,172.933201,349.748644,349.675275
54656.000000,172.962030,349.868366,349.938384
54784.000000,162.639208,326.004272,349.778134
54912.000000,173.138631,349.653569,349.549244
55040.000000,173.115790,349.737876,349.668458
55168.000000,162.872585,326.166459,326.136338
55296.000000,173.172049,349.628919,349.421807
55424.000000,173.115471,349.609290,349.678235
55552.000000,162.692903,325.758483,326.236752
55680.000000,173.087241,349.630360,349.433226
55808.000000,173.148733,349.619436,349.687879
55936.000000,162.826524,326.157442,349.463499
56064.000000,173.153943,349.648789,349.444489
56192.000000,173.081526,349.697391,349.629412
56320.000000,162.613006,325.843430,349.406736
56448.000000,173.120187,349.388022,349.455600
56576.000000,173.064911,349.436781,325.324694
56704.000000,162.577554,326.060723,349.283528
56832.000000,173.202288,349.332305,349.131129
56960.000000,173.196503,325.834810,326.184671
57088.000000,162.614921,348.961983,348.895352
57216.000000,172.784602,349.277384,349.279463
57344.000000,162.678011,325.818179,325.586937
57472.000000,173.100287,349.373858,349.506650
57600.000000,173.037926,349.620631,324.564187
57728.000000,162.585455,349.601804,349.601804
57856.000000,173.205349,349.781219,349.649100
57984.000000,173.110793,325.524205,325.495659
58112.000000,162.622122,349.743075,349.611567
58240.000000,172.778939,349.724162,349.855465
58368.000000,162.669913,325.595048,325.821355
58496.000000,173.129117,349.686530,349.686530
58624.000000,172.812674,349.635263,325.293572
58752.000000,162.719751,325.834306,349.616731
58880.000000,173.160552,349.695617,349.501031
59008.000000,162.724579,325.617512,325.505248
59136.000000,173.213004,349.626228,349.497098
59264.000000,172.994120,349.640127,325.319151
59392.000000,162.613391,330.242221,349.364707
59520.000000,173.148850,349.411128,349.411128
59648.000000,162.639401,325.167973,325.667296
59776.000000,173.074908,349.567237,349.311920
59904.000000,172.883115,349.294468,325.454674
60032.000000,162.688353,349.023256,349.215580
60160.000000,173.145658,349.259793,349.291485
60288.000000,162.652050,325.771027,325.826035
60416.000000,173.235839,349.193901,349.322045
60544.000000,172.882527,349.428806,325.614782
60672.000000,162.550574,349.222767,349.222767
60800.000000,173.088385,349.331184,349.425286
60928.000000,162.569495,325.736527,325.573345
61056.000000,173.185479,349.453052,349.453052
61184.000000,173.111229,325.446799,325.338640
61312.000000,162.644777,349.356116,349.356130
61440.000000,173.245805,349.836302,349.711848
61568.000000,162.622867,325.648915,349.631954
61696.000000,173.174154,349.738167,349.614313
61824.000000,172.987188,325.309224,325.550110
61952.000000,162.857474,349.579256,349.733441
62080.000000,172.902211,349.869677,349.808054
62208.000000,162.675162,325.483322,349.851668
62336.000000,173.148974,349.712029,349.772407
62464.000000,173.165380,325.677879,325.518765
62592.000000,162.708690,349.798124,349.614936
62720.000000,173.199859,349.597620,349.719454
62848.000000,162.529178,325.690864,349.671570
62976.000000,173.129895,349.866661,349.684547
63104.000000,173.058062,325.960941,325.619282
63232.000000,173.268026,349.710346,349.649901
63360.000000,173.174591,349.572418,349.693003
63488.000000,162.737583,325.527330,349.585483
63616.000000,173.171026,349.718614,349.418461
63744.000000,173.099333,325.535897,325.821896
63872.000000,162.718256,349.445029,349.564560
64000.000000,173.133824,349.667057,349.547696
64128.000000,162.709799,326.091838,349.592318
64256.000000,173.211358,349.514202,349.625618
64384.000000,173.089808,325.454235,325.557077
64512.000000,162.742137,349.244455,349.303563
64640.000000,173.109048,349.464429,349.582552
64768.000000,162.784793,325.723097,349.447972
64896.000000,173.185892,349.490403,349.372808
65024.000000,173.180857,325.374197,325.654271
65152.000000,170.666668,349.574795,349.223461
65280.000000,173.128249,349.207628,349.090913
65408.000000,162.757075,326.173591,349.425043
